Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","149","Nepal","5922","Export Value","58","Flour, maize","2016","2016","1000 US$","0","","Official data"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","58","Flour, maize","2018","2018","1000 US$","22","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","16","Flour, wheat","2000","2000","tonnes","5","F","FAO estimate"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","16","Flour, wheat","2001","2001","tonnes","40","*","Unofficial figure"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","16","Flour, wheat","2002","2002","tonnes","110","*","Unofficial figure"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","16","Flour, wheat","2003","2003","tonnes","2408","*","Unofficial figure"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","16","Flour, wheat","2004","2004","tonnes","99","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","16","Flour, wheat","2005","2005","tonnes","200","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","16","Flour, wheat","2006","2006","tonnes","4302","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","16","Flour, wheat","2007","2007","tonnes","1048","*","Unofficial figure"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","16","Flour, wheat","2008","2008","tonnes","195","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","16","Flour, wheat","2009","2009","tonnes","39","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","16","Flour, wheat","2010","2010","tonnes","285","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","16","Flour, wheat","2011","2011","tonnes","11159","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","16","Flour, wheat","2012","2012","tonnes","3799","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","16","Flour, wheat","2013","2013","tonnes","17394","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","16","Flour, wheat","2014","2014","tonnes","17129","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","16","Flour, wheat","2015","2015","tonnes","656","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","16","Flour, wheat","2016","2016","tonnes","3716","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","16","Flour, wheat","2017","2017","tonnes","182","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","16","Flour, wheat","2018","2018","tonnes","1713","*","Unofficial figure"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","16","Flour, wheat","2000","2000","1000 US$","2","","Official data"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","16","Flour, wheat","2001","2001","1000 US$","18","F","FAO estimate"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","16","Flour, wheat","2002","2002","1000 US$","36","*","Unofficial figure"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","16","Flour, wheat","2003","2003","1000 US$","435","","Official data"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","16","Flour, wheat","2004","2004","1000 US$","19","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","16","Flour, wheat","2005","2005","1000 US$","38","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","16","Flour, wheat","2006","2006","1000 US$","1124","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","16","Flour, wheat","2007","2007","1000 US$","307","*","Unofficial figure"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","16","Flour, wheat","2008","2008","1000 US$","71","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","16","Flour, wheat","2009","2009","1000 US$","17","","Official data"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","16","Flour, wheat","2010","2010","1000 US$","131","","Official data"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","16","Flour, wheat","2011","2011","1000 US$","3590","","Official data"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","16","Flour, wheat","2012","2012","1000 US$","1029","","Official data"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","16","Flour, wheat","2013","2013","1000 US$","5064","","Official data"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","16","Flour, wheat","2014","2014","1000 US$","5765","","Official data"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","16","Flour, wheat","2015","2015","1000 US$","212","","Official data"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","16","Flour, wheat","2016","2016","1000 US$","1077","","Official data"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","16","Flour, wheat","2017","2017","1000 US$","85","","Official data"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","16","Flour, wheat","2018","2018","1000 US$","637","*","Unofficial figure"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","16","Flour, wheat","2000","2000","tonnes","0","","Official data"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","16","Flour, wheat","2001","2001","tonnes","3200","F","FAO estimate"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","16","Flour, wheat","2002","2002","tonnes","3569","*","Unofficial figure"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","16","Flour, wheat","2003","2003","tonnes","4516","","Official data"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","16","Flour, wheat","2004","2004","tonnes","2719","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","16","Flour, wheat","2005","2005","tonnes","1656","R","Estimated data using trading partners database"
